frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
612,1,falling,3978.5,91.514,3,129,1187.3,72.0,159.932,43.18,165.0,0.136,141.9,1189.0,147.0,165.0,43.18,3.704,0.198,0.786,0,83.102,1.2663,1.0044,0.0,345.0,,,65.625,
613,2,falling,11552.5,16.416,3,85,1270.3,280.0,162.609,158.973,0.5,0.687,164.0,1272.0,362.0,0.5,158.973,1.023,0.556,0.991,0,160.781,2.45,1.9433,0.3337,137.0,223.949,671121.82,65.625,10226.62
614,3,falling,3122.0,94.368,3,129,1204.2,213.4,161.858,35.611,0.1,0.153,126.0,1188.0,277.0,0.1,35.611,4.545,0.152,0.829,0,75.921,1.1569,0.9176,0.6674,203.6,93.834,281197.8,65.625,4284.92
615,4,falling,2815.0,92.767,3,124,1189.6,310.2,127.685,39.574,12.4,0.116,123.2,1191.0,246.0,12.4,39.574,3.227,0.22,0.725,0,71.084,1.0832,0.8592,1.0011,106.8,97.895,293367.98,65.625,4470.37
617,5,falling,3621.0,97.388,3,126,1198.5,265.0,187.626,37.876,5.5,0.12,150.0,1172.0,334.0,5.5,37.876,4.954,0.131,0.756,0,84.3,1.2846,1.0189,1.6685,152.0,46.068,138054.69,65.625,2103.69
618,6,falling,5080.5,91.055,3,127,1203.3,276.1,222.972,46.174,7.0,0.139,156.2,1170.0,347.0,7.0,46.174,4.829,0.13,0.802,0,101.466,1.5461,1.2264,2.0022,140.9,12.093,36241.06,65.625,552.24
620,7,falling,2630.5,96.79,3,128,1202.0,217.3,151.775,31.342,1.1,0.191,116.0,1190.0,272.0,1.1,31.342,4.842,0.145,0.853,0,68.971,1.051,0.8336,2.6695,199.7,58.814,176252.93,65.625,2685.76
621,8,falling,4304.0,94.849,3,128,1203.3,262.7,212.454,40.159,3.9,0.125,154.4,1178.0,334.0,3.9,40.159,5.29,0.121,0.817,0,92.369,1.4075,1.1164,3.0032,154.3,45.419,136108.96,65.625,2074.04
625,9,falling,2759.5,100.039,3,127,1200.6,174.8,176.145,30.279,178.3,0.134,133.1,1189.0,247.0,178.3,30.279,5.817,0.113,0.763,0,73.031,1.1129,0.8827,4.338,242.2,87.941,263540.01,65.625,4015.85
626,10,falling,2578.5,98.277,3,126,1200.6,240.5,149.671,30.844,2.5,0.129,118.5,1183.0,298.0,2.5,30.844,4.853,0.147,0.786,0,67.944,1.0353,0.8212,4.6717,176.5,65.7,196887.56,65.625,3000.19
627,11,falling,3319.0,91.25,3,125,1193.7,93.7,157.294,38.915,169.0,0.121,131.0,1190.0,166.0,169.0,38.915,4.042,0.171,0.747,0,78.237,1.1922,0.9456,5.0054,323.3,146.962,440411.01,65.625,6711.02
628,12,falling,4033.5,92.177,3,127,1205.7,227.0,185.892,40.931,1.7,0.136,137.1,1191.0,157.0,1.7,40.931,4.542,0.149,0.832,0,87.228,1.3292,1.0543,5.3391,190.0,133.839,401084.37,65.625,6111.76
630,13,falling,4133.5,99.874,3,134,1190.3,293.5,152.43,52.808,12.7,0.103,171.8,1155.0,376.0,12.7,52.808,2.887,0.227,0.695,0,89.719,1.3671,1.0844,6.0065,123.5,68.26,204558.89,65.625,3117.09
631,14,falling,3182.5,83.748,3,125,117.8,296.4,118.626,45.746,165.6,0.143,122.8,151.0,351.0,165.6,45.746,2.593,0.288,0.721,0,73.666,1.1225,0.8904,6.3402,120.6,1072.504,3214043.81,65.625,48975.91
632,15,falling,4201.0,95.143,3,126,1204.0,165.0,223.962,39.238,177.4,0.152,147.6,1191.0,240.0,177.4,39.238,5.708,0.107,0.805,0,93.744,1.4285,1.133,6.6739,252.0,1094.119,3278819.17,65.625,49962.96
633,16,falling,4448.5,92.333,3,130,1180.0,342.5,144.55,58.597,17.5,0.105,156.5,1188.0,261.0,17.5,58.597,2.467,0.271,0.714,0,92.034,1.4024,1.1124,7.0076,74.5,179.115,536766.39,65.625,8179.3
636,17,falling,1689.5,97.814,3,125,1197.0,186.0,100.097,31.352,179.2,0.121,103.2,1190.0,238.0,179.2,31.352,3.193,0.215,0.685,0,56.02,0.8536,0.6771,8.0086,231.0,157.421,471752.82,65.625,7188.61
