frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
242,1,falling,2445.0,104.713,3,133,1211.5,242.6,146.406,29.958,3.7,0.151,127.3,1194.0,304.0,3.7,29.958,4.887,0.145,0.762,0,66.227,1.0092,0.7112,0.0,190.4,,,65.625,
243,2,falling,4296.0,99.214,3,134,1216.7,190.6,196.557,40.083,177.9,0.133,151.3,1203.0,269.0,177.9,40.083,4.904,0.142,0.807,0,88.761,1.3525,0.9532,0.3337,242.4,52.259,156609.08,65.625,2386.42
244,3,falling,3492.5,95.318,3,129,997.3,277.7,426.344,272.092,116.0,0.082,146.0,1196.0,299.0,116.0,272.092,1.567,0.024,0.568,0,340.595,5.19,3.6575,0.6674,155.3,236.057,707406.84,65.625,10779.53
245,4,falling,2684.0,102.847,3,131,1197.6,80.6,145.529,34.009,166.5,0.161,135.1,1201.0,151.0,166.5,34.009,4.279,0.161,0.751,0,70.352,1.072,0.7555,1.0011,352.4,281.013,842131.37,65.625,12832.48
248,5,falling,882.0,105.367,23,133,1207.0,247.4,77.588,18.933,2.2,0.116,77.0,1201.0,285.0,2.2,18.933,4.098,0.187,0.697,0,38.327,0.584,0.4116,2.0022,185.6,167.065,500653.77,65.625,7629.01
249,6,falling,3990.5,97.082,3,134,1214.9,271.2,198.374,40.274,4.7,0.21,135.5,1205.0,197.0,4.7,40.274,4.926,0.129,0.822,0,89.383,1.362,0.9598,2.3359,161.8,25.077,75149.56,65.625,1145.14
251,7,falling,1827.5,106.963,3,134,1208.5,227.7,116.647,27.466,1.7,0.101,115.0,1197.0,286.0,1.7,27.466,4.247,0.171,0.718,0,56.602,0.8625,0.6078,3.0032,205.3,43.968,131762.68,65.625,2007.81
253,8,falling,3207.5,95.784,3,130,1192.7,343.9,116.822,54.31,22.9,0.117,132.5,1156.0,404.0,22.9,54.31,2.151,0.299,0.696,0,79.653,1.2138,0.8554,3.6706,89.1,117.269,351428.6,65.625,5355.1
254,9,falling,2850.0,104.826,3,133,1212.0,231.3,162.496,31.76,1.7,0.133,136.1,1200.0,162.0,1.7,31.76,5.116,0.137,0.773,0,71.839,1.0947,0.7714,4.0043,201.7,114.242,342356.8,65.625,5216.87
256,10,falling,4266.0,97.271,3,135,1213.9,273.4,199.158,41.543,5.4,0.181,144.6,1189.0,339.0,5.4,41.543,4.794,0.137,0.812,0,90.96,1.3861,0.9768,4.6717,159.6,42.143,126292.29,65.625,1924.45
259,11,falling,3365.5,99.211,3,133,1209.6,289.9,183.057,36.046,7.0,0.155,135.7,1185.0,350.0,7.0,36.046,5.078,0.128,0.763,0,81.231,1.2378,0.8723,5.6728,143.1,17.051,51098.16,65.625,778.64
