frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
396,1,falling,3221.5,103.645,3,135,1208.9,149.6,177.428,34.319,176.1,0.125,146.3,1198.0,228.0,176.1,34.319,5.17,0.13,0.762,0,78.033,1.1891,0.6839,0.0,283.4,,,65.625,
397,2,falling,3301.0,92.989,3,127,1169.9,356.2,121.61,81.173,45.6,0.094,136.5,1139.0,414.0,45.6,81.173,1.498,0.284,0.609,0,99.355,1.514,0.8707,0.3337,76.8,210.249,630066.57,65.625,9601.01
398,3,falling,3892.5,99.136,3,134,1217.6,214.8,176.086,38.223,0.3,0.211,138.1,1202.0,281.0,0.3,38.223,4.607,0.16,0.861,0,82.04,1.2501,0.719,0.6674,218.2,149.229,447204.02,65.625,6814.54
400,4,falling,3727.0,95.8,3,136,1214.8,261.9,171.838,39.805,3.3,0.169,133.2,1194.0,326.0,3.3,39.805,4.317,0.161,0.822,0,82.704,1.2603,0.7248,1.3348,171.1,47.183,141396.89,65.625,2154.62
403,5,falling,8926.0,15.121,3,89,1274.9,298.0,146.657,144.469,3.5,0.695,148.0,1276.0,372.0,3.5,144.469,1.015,0.528,0.991,0,145.559,2.218,1.2757,2.3359,135.0,70.109,210099.19,65.625,3201.51
406,6,falling,2517.0,100.517,3,132,1214.0,219.4,163.339,30.276,1.1,0.162,118.0,1198.0,278.0,1.1,30.276,5.395,0.12,0.832,0,70.323,1.0716,0.6163,3.3369,213.6,99.432,297975.2,65.625,4540.57
407,7,falling,9813.5,17.404,3,88,1276.3,124.0,156.496,152.704,0.4,0.659,158.0,1278.0,203.0,0.4,152.704,1.025,0.51,0.992,0,154.588,2.3556,1.3548,3.6706,309.0,113.941,341453.24,65.625,5203.1
409,8,falling,3936.5,94.677,3,133,1205.7,94.1,176.948,41.436,168.1,0.123,140.2,1202.0,175.0,168.1,41.436,4.27,0.16,0.772,0,85.627,1.3048,0.7504,4.338,338.9,76.671,229763.67,65.625,3501.16
410,9,falling,3034.5,99.883,3,130,1191.6,343.7,122.899,51.086,19.1,0.099,143.3,1200.0,273.0,19.1,51.086,2.406,0.256,0.677,0,79.237,1.2074,0.6944,4.6717,89.3,249.998,749185.45,65.625,11416.16
411,10,falling,3911.5,97.898,3,133,1203.9,92.2,168.421,40.986,168.1,0.124,145.3,1204.0,168.0,168.1,40.986,4.109,0.176,0.786,0,83.083,1.266,0.7281,5.0054,340.8,251.801,754587.59,65.625,11498.48
414,11,falling,3875.0,104.279,3,134,1210.3,278.7,199.449,36.879,6.2,0.147,164.3,1181.0,355.0,6.2,36.879,5.408,0.124,0.774,0,85.764,1.3069,0.7516,6.0065,154.3,186.61,559225.94,65.625,8521.54
415,12,falling,4297.5,101.69,3,135,1210.5,279.3,201.662,40.669,5.9,0.125,164.3,1182.0,354.0,5.9,40.669,4.959,0.135,0.774,0,90.562,1.38,0.7937,6.3402,153.7,0.632,1895.32,65.625,28.88
418,13,falling,3770.0,93.223,3,131,1207.5,95.1,162.24,40.814,171.0,0.165,127.9,1206.0,162.0,171.0,40.814,3.975,0.182,0.829,0,81.374,1.24,0.7132,7.3412,337.9,184.224,552077.59,65.625,8412.61
421,14,falling,3681.0,99.118,3,132,1199.3,330.8,154.188,43.591,13.9,0.118,149.2,1200.0,256.0,13.9,43.591,3.537,0.197,0.728,0,81.983,1.2493,0.7185,8.3423,102.2,235.843,706765.19,65.625,10769.76
422,15,falling,3410.0,102.764,3,134,1210.0,136.6,197.364,34.348,174.5,0.176,142.3,1204.0,212.0,174.5,34.348,5.746,0.111,0.802,0,82.335,1.2546,0.7216,8.676,296.4,194.495,582854.75,65.625,8881.6
423,16,falling,2528.0,101.401,3,133,1197.7,90.3,123.6,37.386,166.4,0.112,127.6,1198.0,156.0,166.4,37.386,3.306,0.211,0.706,0,67.977,1.0358,0.5957,9.0097,342.7,47.906,143562.94,65.625,2187.63
427,17,falling,11564.0,66.43,1,168,650.5,99.6,128.647,114.62,94.3,0.844,129.9,714.0,117.0,94.3,114.62,1.122,0.89,0.988,0,121.431,1.8504,1.0642,10.3445,333.4,547.279,1640067.44,65.625,24991.5
